REF_AREA,Reference area,TIME_PERIOD,productivity,emissions,renewable_supply,sustainability_category,country_pattern,emissions_scaled,cluster
UKR,Ukraine,2020,2.88,161.39,1.84,Very Low,Emerging Polluters,1.500359016846175,0
ARE,United Arab Emirates,2020,3.6,175.18,0.63,Very Low,Emerging Polluters,1.6526926263463133,0
GBR,United Kingdom,2020,8.9,300.55,8.94,Very Low,Developing Sustainers,3.0376139188069593,0
USA,United States,2020,4.62,4257.63,5.83,Very Low,Industrial Giants,46.75017950842309,0
URY,Uruguay,2020,11.74,6.16,18.52,Very Low,Green Leaders,-0.2144159072079536,0
UZB,Uzbekistan,2020,2.41,109.65,0.95,Very Low,Emerging Polluters,0.9288041977354323,0
VNM,Viet Nam,2020,3.24,297.62,7.45,Very Low,Emerging Polluters,3.0052471692902514,0
YEM,Yemen,2020,10.55,8.59,1.46,Very Low,Green Leaders,-0.18757249378624688,0
ZMB,Zambia,2020,10.34,5.83,10.18,Very Low,Green Leaders,-0.21806130903065452,0
ZWE,Zimbabwe,2020,4.5,8.06,3.61,Very Low,Industrial Giants,-0.1934272300469483,0
